,State,State Code,Region,Division,Year,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote
0,Alaska,AK,West,Pacific,1968,2.1,15.61,1.15,8.55,2.1,15.61,34.8,2.1,2.1,15.61,2.1,15.61,
1,Alaska,AK,West,Pacific,1969,2.1,14.8,1.15,8.11,2.1,14.8,36.7,2.1,2.1,14.8,2.1,14.8,
2,Alaska,AK,West,Pacific,1970,2.1,14.0,1.3,8.67,2.1,14.0,38.8,2.1,2.1,14.0,2.1,14.0,
3,Alaska,AK,West,Pacific,1971,2.1,13.41,1.3,8.3,2.1,13.41,40.5,2.1,2.1,13.41,2.1,13.41,
4,Alaska,AK,West,Pacific,1972,2.1,12.99,1.6,9.9,2.1,12.99,41.8,2.1,2.1,12.99,2.1,12.99,
5,Alaska,AK,West,Pacific,1973,2.1,12.23,1.6,9.32,2.1,12.23,44.4,2.1,2.1,12.23,2.1,12.23,
6,Alaska,AK,West,Pacific,1974,2.1,11.02,1.6,8.39,2.1,11.02,49.3,2.1,2.1,11.02,2.1,11.02,
7,Alaska,AK,West,Pacific,1975,2.1,10.1,1.6,7.69,2.1,10.1,53.8,2.1,2.1,10.1,2.1,10.1,
8,Alaska,AK,West,Pacific,1976,2.8,12.73,2.2,10.0,2.8,12.73,56.9,2.8,2.8,12.73,2.8,12.73,
9,Alaska,AK,West,Pacific,1977,2.8,11.95,2.2,9.39,2.8,11.95,60.6,2.8,2.8,11.95,2.8,11.95,
10,Alaska,AK,West,Pacific,1978,2.8,11.11,2.2,8.73,2.8,11.11,65.2,2.8,2.8,11.11,2.8,11.11,
11,Alaska,AK,West,Pacific,1979,3.4,12.11,2.9,10.33,3.4,12.11,72.6,3.4,3.4,12.11,3.4,12.11,
12,Alaska,AK,West,Pacific,1980,3.6,11.3,3.1,9.73,3.6,11.3,82.4,3.6,3.6,11.3,3.6,11.3,
13,Alaska,AK,West,Pacific,1981,3.85,10.96,3.35,9.53,3.85,10.96,90.9,3.85,3.85,10.96,3.85,10.96,
14,Alaska,AK,West,Pacific,1982,3.85,10.32,3.35,8.98,3.85,10.32,96.5,3.85,3.85,10.32,3.85,10.32,
15,Alaska,AK,West,Pacific,1983,3.85,10.0,3.35,8.7,3.85,10.0,99.6,3.85,3.85,10.0,3.85,10.0,
16,Alaska,AK,West,Pacific,1984,3.85,9.58,3.35,8.34,3.85,9.58,103.9,3.85,3.85,9.58,3.85,9.58,
17,Alaska,AK,West,Pacific,1985,3.85,9.26,3.35,8.05,3.85,9.26,107.6,3.85,3.85,9.26,3.85,9.26,
18,Alaska,AK,West,Pacific,1986,3.85,9.09,3.35,7.91,3.85,9.09,109.6,3.85,3.85,9.09,3.85,9.09,
19,Alaska,AK,West,Pacific,1987,3.85,8.77,3.35,7.63,3.85,8.77,113.6,3.85,3.85,8.77,3.85,8.77,
20,Alaska,AK,West,Pacific,1988,3.85,8.42,3.35,7.32,3.85,8.42,118.3,3.85,3.85,8.42,3.85,8.42,
21,Alaska,AK,West,Pacific,1989,3.85,8.03,3.35,6.99,3.85,8.03,124.0,3.85,3.85,8.03,3.85,8.03,
22,Alaska,AK,West,Pacific,1990,3.85,7.62,3.35,6.63,3.85,7.62,130.7,3.85,3.85,7.62,3.85,7.62,
23,Alaska,AK,West,Pacific,1991,4.3,8.17,3.8,7.22,4.3,8.17,136.2,4.3,4.3,8.17,4.3,8.17,
24,Alaska,AK,West,Pacific,1992,4.75,8.76,4.25,7.84,4.75,8.76,140.3,4.75,4.75,8.76,4.75,8.76,
25,Alaska,AK,West,Pacific,1993,4.75,8.5,4.25,7.61,4.75,8.5,144.5,4.75,4.75,8.5,4.75,8.5,
26,Alaska,AK,West,Pacific,1994,4.75,8.29,4.25,7.42,4.75,8.29,148.2,4.75,4.75,8.29,4.75,8.29,
27,Alaska,AK,West,Pacific,1995,4.75,8.06,4.25,7.21,4.75,8.06,152.4,4.75,4.75,8.06,4.75,8.06,
28,Alaska,AK,West,Pacific,1996,4.75,7.83,4.25,7.01,4.75,7.83,156.9,4.75,4.75,7.83,4.75,7.83,
29,Alaska,AK,West,Pacific,1997,5.25,8.46,4.75,7.66,5.25,8.46,160.5,5.25,5.25,8.46,5.25,8.46,
30,Alaska,AK,West,Pacific,1998,5.65,8.97,5.15,8.17,5.65,8.97,163.0,5.65,5.65,8.97,5.65,8.97,
31,Alaska,AK,West,Pacific,1999,5.65,8.77,5.15,8.0,5.65,8.77,166.6,5.65,5.65,8.77,5.65,8.77,
32,Alaska,AK,West,Pacific,2000,5.65,8.49,5.15,7.74,5.65,8.49,172.2,5.65,5.65,8.49,5.65,8.49,
33,Alaska,AK,West,Pacific,2001,5.65,8.25,5.15,7.52,5.65,8.25,177.1,5.65,5.65,8.25,5.65,8.25,
34,Alaska,AK,West,Pacific,2002,5.65,8.12,5.15,7.4,5.65,8.12,179.9,5.65,5.65,8.12,5.65,8.12,
35,Alaska,AK,West,Pacific,2003,7.15,10.05,5.15,7.24,7.15,10.05,184.0,7.15,7.15,10.05,7.15,10.05,
36,Alaska,AK,West,Pacific,2004,7.15,9.79,5.15,7.05,7.15,9.79,188.9,7.15,7.15,9.79,7.15,9.79,
37,Alaska,AK,West,Pacific,2005,7.15,9.47,5.15,6.82,7.15,9.47,195.3,7.15,7.15,9.47,7.15,9.47,
38,Alaska,AK,West,Pacific,2006,7.15,9.17,5.15,6.61,7.15,9.17,201.6,7.15,7.15,9.17,7.15,9.17,
39,Alaska,AK,West,Pacific,2007,7.15,8.92,5.15,6.42,7.15,8.92,207.342,7.15,7.15,8.92,7.15,8.92,
40,Alaska,AK,West,Pacific,2008,7.15,8.59,5.85,7.03,7.15,8.59,215.303,7.15,7.15,8.59,7.15,8.59,
41,Alaska,AK,West,Pacific,2009,7.15,8.62,6.55,7.9,7.15,8.62,214.537,7.15,7.15,8.62,7.15,8.62,
42,Alaska,AK,West,Pacific,2010,7.75,9.19,7.25,8.6,7.75,9.19,218.056,7.75,7.75,9.19,7.75,9.19,
43,Alaska,AK,West,Pacific,2011,7.75,8.91,7.25,8.34,7.75,8.91,224.939,7.75,7.75,8.91,7.75,8.91,
44,Alaska,AK,West,Pacific,2012,7.75,8.73,7.25,8.17,7.75,8.73,229.594,7.75,7.75,8.73,7.75,8.73,
45,Alaska,AK,West,Pacific,2013,7.75,8.61,7.25,8.05,7.75,8.61,232.957,7.75,7.75,8.61,7.75,8.61,
46,Alaska,AK,West,Pacific,2014,7.75,8.47,7.25,7.92,7.75,8.47,236.736,7.75,7.75,8.47,7.75,8.47,
47,Alaska,AK,West,Pacific,2015,8.75,9.55,7.25,7.91,8.75,9.55,237.017,8.75,8.75,9.55,8.75,9.55,
48,Alaska,AK,West,Pacific,2016,9.75,10.51,7.25,7.81,9.75,10.51,240.007,9.75,9.75,10.51,9.75,10.51,
49,Alaska,AK,West,Pacific,2017,9.8,10.34,7.25,7.65,9.8,10.34,245.12,9.8,9.8,10.34,9.8,10.34,
50,Alaska,AK,West,Pacific,2018,9.84,10.14,7.25,7.47,9.84,10.14,251.107,9.84,9.84,10.14,9.84,10.14,
51,Alaska,AK,West,Pacific,2019,10.19,10.31,7.25,7.34,10.19,10.31,255.657,10.19,10.19,10.31,10.19,10.31,
52,Alaska,AK,West,Pacific,2020,10.19,10.19,7.25,7.25,10.19,10.19,258.66,10.19,10.19,10.19,10.19,10.19,
53,Alabama,AL,South,East South Central,1968,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
54,Alabama,AL,South,East South Central,1969,0.0,0.0,1.15,8.11,1.15,8.11,36.7,...,0.0,0.0,0.0,0.0,
55,Alabama,AL,South,East South Central,1970,0.0,0.0,1.3,8.67,1.3,8.67,38.8,...,0.0,0.0,0.0,0.0,
56,Alabama,AL,South,East South Central,1971,0.0,0.0,1.3,8.3,1.3,8.3,40.5,...,0.0,0.0,0.0,0.0,
57,Alabama,AL,South,East South Central,1972,0.0,0.0,1.6,9.9,1.6,9.9,41.8,...,0.0,0.0,0.0,0.0,
58,Alabama,AL,South,East South Central,1973,0.0,0.0,1.6,9.32,1.6,9.32,44.4,...,0.0,0.0,0.0,0.0,
59,Alabama,AL,South,East South Central,1974,0.0,0.0,1.6,8.39,1.6,8.39,49.3,...,0.0,0.0,0.0,0.0,
60,Alabama,AL,South,East South Central,1975,0.0,0.0,1.6,7.69,1.6,7.69,53.8,...,0.0,0.0,0.0,0.0,
61,Alabama,AL,South,East South Central,1976,0.0,0.0,2.2,10.0,2.2,10.0,56.9,...,0.0,0.0,0.0,0.0,
62,Alabama,AL,South,East South Central,1977,0.0,0.0,2.2,9.39,2.2,9.39,60.6,...,0.0,0.0,0.0,0.0,
63,Alabama,AL,South,East South Central,1978,0.0,0.0,2.2,8.73,2.2,8.73,65.2,...,0.0,0.0,0.0,0.0,
64,Alabama,AL,South,East South Central,1979,0.0,0.0,2.9,10.33,2.9,10.33,72.6,...,0.0,0.0,0.0,0.0,
65,Alabama,AL,South,East South Central,1980,0.0,0.0,3.1,9.73,3.1,9.73,82.4,...,0.0,0.0,0.0,0.0,
66,Alabama,AL,South,East South Central,1981,0.0,0.0,3.35,9.53,3.35,9.53,90.9,...,0.0,0.0,0.0,0.0,
67,Alabama,AL,South,East South Central,1982,0.0,0.0,3.35,8.98,3.35,8.98,96.5,...,0.0,0.0,0.0,0.0,
68,Alabama,AL,South,East South Central,1983,0.0,0.0,3.35,8.7,3.35,8.7,99.6,...,0.0,0.0,0.0,0.0,
69,Alabama,AL,South,East South Central,1984,0.0,0.0,3.35,8.34,3.35,8.34,103.9,...,0.0,0.0,0.0,0.0,
70,Alabama,AL,South,East South Central,1985,0.0,0.0,3.35,8.05,3.35,8.05,107.6,...,0.0,0.0,0.0,0.0,
71,Alabama,AL,South,East South Central,1986,0.0,0.0,3.35,7.91,3.35,7.91,109.6,...,0.0,0.0,0.0,0.0,
72,Alabama,AL,South,East South Central,1987,0.0,0.0,3.35,7.63,3.35,7.63,113.6,...,0.0,0.0,0.0,0.0,
73,Alabama,AL,South,East South Central,1988,0.0,0.0,3.35,7.32,3.35,7.32,118.3,...,0.0,0.0,0.0,0.0,
74,Alabama,AL,South,East South Central,1989,0.0,0.0,3.35,6.99,3.35,6.99,124.0,...,0.0,0.0,0.0,0.0,
75,Alabama,AL,South,East South Central,1990,0.0,0.0,3.35,6.63,3.35,6.63,130.7,...,0.0,0.0,0.0,0.0,
76,Alabama,AL,South,East South Central,1991,0.0,0.0,3.8,7.22,3.8,7.22,136.2,...,0.0,0.0,0.0,0.0,
77,Alabama,AL,South,East South Central,1992,0.0,0.0,4.25,7.84,4.25,7.84,140.3,...,0.0,0.0,0.0,0.0,
78,Alabama,AL,South,East South Central,1993,0.0,0.0,4.25,7.61,4.25,7.61,144.5,...,0.0,0.0,0.0,0.0,
79,Alabama,AL,South,East South Central,1994,0.0,0.0,4.25,7.42,4.25,7.42,148.2,...,0.0,0.0,0.0,0.0,
80,Alabama,AL,South,East South Central,1995,0.0,0.0,4.25,7.21,4.25,7.21,152.4,...,0.0,0.0,0.0,0.0,
81,Alabama,AL,South,East South Central,1996,0.0,0.0,4.25,7.01,4.25,7.01,156.9,...,0.0,0.0,0.0,0.0,
82,Alabama,AL,South,East South Central,1997,0.0,0.0,4.75,7.66,4.75,7.66,160.5,...,0.0,0.0,0.0,0.0,
83,Alabama,AL,South,East South Central,1998,0.0,0.0,5.15,8.17,5.15,8.17,163.0,...,0.0,0.0,0.0,0.0,
84,Alabama,AL,South,East South Central,1999,0.0,0.0,5.15,8.0,5.15,8.0,166.6,...,0.0,0.0,0.0,0.0,
85,Alabama,AL,South,East South Central,2000,0.0,0.0,5.15,7.74,5.15,7.74,172.2,...,0.0,0.0,0.0,0.0,
86,Alabama,AL,South,East South Central,2001,0.0,0.0,5.15,7.52,5.15,7.52,177.1,...,0.0,0.0,0.0,0.0,
87,Alabama,AL,South,East South Central,2002,0.0,0.0,5.15,7.4,5.15,7.4,179.9,...,0.0,0.0,0.0,0.0,
88,Alabama,AL,South,East South Central,2003,0.0,0.0,5.15,7.24,5.15,7.24,184.0,...,0.0,0.0,0.0,0.0,
89,Alabama,AL,South,East South Central,2004,0.0,0.0,5.15,7.05,5.15,7.05,188.9,...,0.0,0.0,0.0,0.0,
90,Alabama,AL,South,East South Central,2005,0.0,0.0,5.15,6.82,5.15,6.82,195.3,...,0.0,0.0,0.0,0.0,
91,Alabama,AL,South,East South Central,2006,0.0,0.0,5.15,6.61,5.15,6.61,201.6,...,0.0,0.0,0.0,0.0,
92,Alabama,AL,South,East South Central,2007,0.0,0.0,5.15,6.42,5.15,6.42,207.342,...,0.0,0.0,0.0,0.0,
93,Alabama,AL,South,East South Central,2008,0.0,0.0,5.85,7.03,5.85,7.03,215.303,...,0.0,0.0,0.0,0.0,
94,Alabama,AL,South,East South Central,2009,0.0,0.0,6.55,7.9,6.55,7.9,214.537,...,0.0,0.0,0.0,0.0,
95,Alabama,AL,South,East South Central,2010,0.0,0.0,7.25,8.6,7.25,8.6,218.056,...,0.0,0.0,0.0,0.0,
96,Alabama,AL,South,East South Central,2011,0.0,0.0,7.25,8.34,7.25,8.34,224.939,...,0.0,0.0,0.0,0.0,
97,Alabama,AL,South,East South Central,2012,0.0,0.0,7.25,8.17,7.25,8.17,229.594,...,0.0,0.0,0.0,0.0,
98,Alabama,AL,South,East South Central,2013,0.0,0.0,7.25,8.05,7.25,8.05,232.957,...,0.0,0.0,0.0,0.0,
99,Alabama,AL,South,East South Central,2014,0.0,0.0,7.25,7.92,7.25,7.92,236.736,...,0.0,0.0,0.0,0.0,
100,Alabama,AL,South,East South Central,2015,0.0,0.0,7.25,7.91,7.25,7.91,237.017,...,0.0,0.0,0.0,0.0,
101,Alabama,AL,South,East South Central,2016,0.0,0.0,7.25,7.81,7.25,7.81,240.007,...,0.0,0.0,0.0,0.0,
102,Alabama,AL,South,East South Central,2017,0.0,0.0,7.25,7.65,7.25,7.65,245.12,...,0.0,0.0,0.0,0.0,
103,Alabama,AL,South,East South Central,2018,0.0,0.0,7.25,7.47,7.25,7.47,251.107,...,0.0,0.0,0.0,0.0,
104,Alabama,AL,South,East South Central,2019,0.0,0.0,7.25,7.34,7.25,7.34,255.657,...,0.0,0.0,0.0,0.0,
105,Alabama,AL,South,East South Central,2020,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0,
106,Arkansas,AR,South,West South Central,1968,0.15625,1.16,1.15,8.55,1.15,8.55,34.8,1.25/day(b),0.15625,1.16,0.15625,1.16,(b)
107,Arkansas,AR,South,West South Central,1969,0.15625,1.1,1.15,8.11,1.15,8.11,36.7,1.25/day(b),0.15625,1.1,0.15625,1.1,(b)
108,Arkansas,AR,South,West South Central,1970,1.1,7.33,1.3,8.67,1.3,8.67,38.8,1.1,1.1,7.33,1.1,7.33,
109,Arkansas,AR,South,West South Central,1971,1.1,7.03,1.3,8.3,1.3,8.3,40.5,1.1,1.1,7.03,1.1,7.03,
110,Arkansas,AR,South,West South Central,1972,1.2,7.43,1.6,9.9,1.6,9.9,41.8,1.2,1.2,7.43,1.2,7.43,
111,Arkansas,AR,South,West South Central,1973,1.2,6.99,1.6,9.32,1.6,9.32,44.4,1.2,1.2,6.99,1.2,6.99,
112,Arkansas,AR,South,West South Central,1974,1.2,6.3,1.6,8.39,1.6,8.39,49.3,1.2,1.2,6.3,1.2,6.3,
113,Arkansas,AR,South,West South Central,1975,1.2,5.77,1.6,7.69,1.6,7.69,53.8,1.2,1.2,5.77,1.2,5.77,
114,Arkansas,AR,South,West South Central,1976,1.9,8.64,2.2,10.0,2.2,10.0,56.9,1.9,1.9,8.64,1.9,8.64,
115,Arkansas,AR,South,West South Central,1977,1.9,8.11,2.2,9.39,2.2,9.39,60.6,1.9,1.9,8.11,1.9,8.11,
116,Arkansas,AR,South,West South Central,1978,1.9,7.54,2.2,8.73,2.2,8.73,65.2,1.9,1.9,7.54,1.9,7.54,
117,Arkansas,AR,South,West South Central,1979,2.3,8.19,2.9,10.33,2.9,10.33,72.6,2.3,2.3,8.19,2.3,8.19,
118,Arkansas,AR,South,West South Central,1980,2.55,8.0,3.1,9.73,3.1,9.73,82.4,2.55,2.55,8.0,2.55,8.0,
119,Arkansas,AR,South,West South Central,1981,2.7,7.68,3.35,9.53,3.35,9.53,90.9,2.7,2.7,7.68,2.7,7.68,
120,Arkansas,AR,South,West South Central,1982,2.7,7.24,3.35,8.98,3.35,8.98,96.5,2.7,2.7,7.24,2.7,7.24,
121,Arkansas,AR,South,West South Central,1983,2.7,7.01,3.35,8.7,3.35,8.7,99.6,2.7,2.7,7.01,2.7,7.01,
122,Arkansas,AR,South,West South Central,1984,2.7,6.72,3.35,8.34,3.35,8.34,103.9,2.7,2.7,6.72,2.7,6.72,
123,Arkansas,AR,South,West South Central,1985,2.7,6.49,3.35,8.05,3.35,8.05,107.6,2.7,2.7,6.49,2.7,6.49,
124,Arkansas,AR,South,West South Central,1986,2.7,6.37,3.35,7.91,3.35,7.91,109.6,2.7,2.7,6.37,2.7,6.37,
125,Arkansas,AR,South,West South Central,1987,2.7,6.15,3.35,7.63,3.35,7.63,113.6,2.7,2.7,6.15,2.7,6.15,
126,Arkansas,AR,South,West South Central,1988,3.25,7.11,3.35,7.32,3.35,7.32,118.3,3.25,3.25,7.11,3.25,7.11,
127,Arkansas,AR,South,West South Central,1989,3.25,6.78,3.35,6.99,3.35,6.99,124.0,3.25,3.25,6.78,3.25,6.78,
128,Arkansas,AR,South,West South Central,1990,3.25,6.43,3.35,6.63,3.35,6.63,130.7,3.25,3.25,6.43,3.25,6.43,
129,Arkansas,AR,South,West South Central,1991,3.35,6.36,3.8,7.22,3.8,7.22,136.2,3.35,3.35,6.36,3.35,6.36,
130,Arkansas,AR,South,West South Central,1992,3.65,6.73,4.25,7.84,4.25,7.84,140.3,3.65,3.65,6.73,3.65,6.73,
131,Arkansas,AR,South,West South Central,1993,3.65,6.53,4.25,7.61,4.25,7.61,144.5,3.65,3.65,6.53,3.65,6.53,
132,Arkansas,AR,South,West South Central,1994,4.25,7.42,4.25,7.42,4.25,7.42,148.2,4.25,4.25,7.42,4.25,7.42,
133,Arkansas,AR,South,West South Central,1995,4.25,7.21,4.25,7.21,4.25,7.21,152.4,4.25,4.25,7.21,4.25,7.21,
134,Arkansas,AR,South,West South Central,1996,4.25,7.01,4.25,7.01,4.25,7.01,156.9,4.25[c],4.25,7.01,4.25,7.01,[c]
135,Arkansas,AR,South,West South Central,1997,4.25,6.85,4.75,7.66,4.75,7.66,160.5,4.25[c],4.25,6.85,4.25,6.85,[c]
136,Arkansas,AR,South,West South Central,1998,5.15,8.17,5.15,8.17,5.15,8.17,163.0,5.15[c],5.15,8.17,5.15,8.17,[c]
137,Arkansas,AR,South,West South Central,1999,5.15,8.0,5.15,8.0,5.15,8.0,166.6,5.15[c],5.15,8.0,5.15,8.0,[c]
138,Arkansas,AR,South,West South Central,2000,5.15,7.74,5.15,7.74,5.15,7.74,172.2,5.15[c],5.15,7.74,5.15,7.74,[c]
139,Arkansas,AR,South,West South Central,2001,5.15,7.52,5.15,7.52,5.15,7.52,177.1,5.15[c],5.15,7.52,5.15,7.52,[c]
140,Arkansas,AR,South,West South Central,2002,5.15,7.4,5.15,7.4,5.15,7.4,179.9,5.15[c],5.15,7.4,5.15,7.4,[c]
141,Arkansas,AR,South,West South Central,2003,5.15,7.24,5.15,7.24,5.15,7.24,184.0,5.15[c],5.15,7.24,5.15,7.24,[c]
142,Arkansas,AR,South,West South Central,2004,5.15,7.05,5.15,7.05,5.15,7.05,188.9,5.15[c],5.15,7.05,5.15,7.05,[c]
143,Arkansas,AR,South,West South Central,2005,5.15,6.82,5.15,6.82,5.15,6.82,195.3,5.15[c],5.15,6.82,5.15,6.82,[c]
144,Arkansas,AR,South,West South Central,2006,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15 [c],5.15,6.61,5.15,6.61,[c]
145,Arkansas,AR,South,West South Central,2007,6.25,7.8,5.15,6.42,6.25,7.8,207.342,6.25[c],6.25,7.8,6.25,7.8,[c]
146,Arkansas,AR,South,West South Central,2008,6.25,7.51,5.85,7.03,6.25,7.51,215.303,6.25[c],6.25,7.51,6.25,7.51,[c]
147,Arkansas,AR,South,West South Central,2009,6.25,7.54,6.55,7.9,6.55,7.9,214.537,6.25[c],6.25,7.54,6.25,7.54,[c]
148,Arkansas,AR,South,West South Central,2010,6.25,7.41,7.25,8.6,7.25,8.6,218.056,6.25[c],6.25,7.41,6.25,7.41,[c]
149,Arkansas,AR,South,West South Central,2011,6.25,7.19,7.25,8.34,7.25,8.34,224.939,6.25[c],6.25,7.19,6.25,7.19,[c]
150,Arkansas,AR,South,West South Central,2012,6.25,7.04,7.25,8.17,7.25,8.17,229.594,6.25[c],6.25,7.04,6.25,7.04,[c]
151,Arkansas,AR,South,West South Central,2013,6.25,6.94,7.25,8.05,7.25,8.05,232.957,6.25[c],6.25,6.94,6.25,6.94,[c]
152,Arkansas,AR,South,West South Central,2014,6.25,6.83,7.25,7.92,7.25,7.92,236.736,6.25[c],6.25,6.83,6.25,6.83,[c]
153,Arkansas,AR,South,West South Central,2015,7.5,8.18,7.25,7.91,7.5,8.18,237.017,7.50[c],7.5,8.18,7.5,8.18,[c]
154,Arkansas,AR,South,West South Central,2016,8.0,8.62,7.25,7.81,8.0,8.62,240.007,8.00[c],8.0,8.62,8.0,8.62,[c]
155,Arkansas,AR,South,West South Central,2017,8.5,8.97,7.25,7.65,8.5,8.97,245.12,8.50[c],8.5,8.97,8.5,8.97,[c]
156,Arkansas,AR,South,West South Central,2018,8.5,8.76,7.25,7.47,8.5,8.76,251.107,8.50[c],8.5,8.76,8.5,8.76,[c]
157,Arkansas,AR,South,West South Central,2019,9.25,9.36,7.25,7.34,9.25,9.36,255.657,9.25[c],9.25,9.36,9.25,9.36,[c]
158,Arkansas,AR,South,West South Central,2020,10.0,10.0,7.25,7.25,10.0,10.0,258.66,10,10.0,10.0,10.0,10.0,
159,Arizona,AZ,West,Mountain,1968,0.468,3.48,1.15,8.55,1.15,8.55,34.8,18.72 - 26.40/wk(b),0.468,3.48,0.66,4.91,(b)
160,Arizona,AZ,West,Mountain,1969,0.468,3.3,1.15,8.11,1.15,8.11,36.7,18.72 - 26.40/wk(b),0.468,3.3,0.66,4.65,(b)
161,Arizona,AZ,West,Mountain,1970,0.468,3.12,1.3,8.67,1.3,8.67,38.8,18.72 - 26.40/wk(b),0.468,3.12,0.66,4.4,(b)
162,Arizona,AZ,West,Mountain,1971,0.468,2.99,1.3,8.3,1.3,8.3,40.5,18.72 - 26.40/wk(b),0.468,2.99,0.66,4.22,(b)
163,Arizona,AZ,West,Mountain,1972,0.468,2.9,1.6,9.9,1.6,9.9,41.8,18.72-26.40/wk(b),0.468,2.9,0.66,4.08,(b)
164,Arizona,AZ,West,Mountain,1973,0.468,2.73,1.6,9.32,1.6,9.32,44.4,18.72-26.40/wk(b),0.468,2.73,0.66,3.84,(b)
165,Arizona,AZ,West,Mountain,1974,0.468,2.46,1.6,8.39,1.6,8.39,49.3,18.72-26.40/wk(b),0.468,2.46,0.66,3.46,(b)
166,Arizona,AZ,West,Mountain,1975,0.468,2.25,1.6,7.69,1.6,7.69,53.8,18.72-26.40/wk(b),0.468,2.25,0.66,3.17,(b)
167,Arizona,AZ,West,Mountain,1976,0.0,0.0,2.2,10.0,2.2,10.0,56.9,...,0.0,0.0,0.0,0.0,
168,Arizona,AZ,West,Mountain,1977,0.0,0.0,2.2,9.39,2.2,9.39,60.6,...,0.0,0.0,0.0,0.0,
169,Arizona,AZ,West,Mountain,1978,0.0,0.0,2.2,8.73,2.2,8.73,65.2,...,0.0,0.0,0.0,0.0,
170,Arizona,AZ,West,Mountain,1979,0.0,0.0,2.9,10.33,2.9,10.33,72.6,...,0.0,0.0,0.0,0.0,
171,Arizona,AZ,West,Mountain,1980,0.0,0.0,3.1,9.73,3.1,9.73,82.4,...,0.0,0.0,0.0,0.0,
172,Arizona,AZ,West,Mountain,1981,0.0,0.0,3.35,9.53,3.35,9.53,90.9,...,0.0,0.0,0.0,0.0,
173,Arizona,AZ,West,Mountain,1982,0.0,0.0,3.35,8.98,3.35,8.98,96.5,...,0.0,0.0,0.0,0.0,
174,Arizona,AZ,West,Mountain,1983,0.0,0.0,3.35,8.7,3.35,8.7,99.6,...,0.0,0.0,0.0,0.0,
175,Arizona,AZ,West,Mountain,1984,0.0,0.0,3.35,8.34,3.35,8.34,103.9,...,0.0,0.0,0.0,0.0,
176,Arizona,AZ,West,Mountain,1985,0.0,0.0,3.35,8.05,3.35,8.05,107.6,...,0.0,0.0,0.0,0.0,
177,Arizona,AZ,West,Mountain,1986,0.0,0.0,3.35,7.91,3.35,7.91,109.6,...,0.0,0.0,0.0,0.0,
178,Arizona,AZ,West,Mountain,1987,0.0,0.0,3.35,7.63,3.35,7.63,113.6,...,0.0,0.0,0.0,0.0,
179,Arizona,AZ,West,Mountain,1988,0.0,0.0,3.35,7.32,3.35,7.32,118.3,...,0.0,0.0,0.0,0.0,
180,Arizona,AZ,West,Mountain,1989,0.0,0.0,3.35,6.99,3.35,6.99,124.0,...,0.0,0.0,0.0,0.0,
181,Arizona,AZ,West,Mountain,1990,0.0,0.0,3.35,6.63,3.35,6.63,130.7,...,0.0,0.0,0.0,0.0,
182,Arizona,AZ,West,Mountain,1991,0.0,0.0,3.8,7.22,3.8,7.22,136.2,...,0.0,0.0,0.0,0.0,
183,Arizona,AZ,West,Mountain,1992,0.0,0.0,4.25,7.84,4.25,7.84,140.3,...,0.0,0.0,0.0,0.0,
184,Arizona,AZ,West,Mountain,1993,0.0,0.0,4.25,7.61,4.25,7.61,144.5,...,0.0,0.0,0.0,0.0,
185,Arizona,AZ,West,Mountain,1994,0.0,0.0,4.25,7.42,4.25,7.42,148.2,...,0.0,0.0,0.0,0.0,
186,Arizona,AZ,West,Mountain,1995,0.0,0.0,4.25,7.21,4.25,7.21,152.4,...,0.0,0.0,0.0,0.0,
187,Arizona,AZ,West,Mountain,1996,0.0,0.0,4.25,7.01,4.25,7.01,156.9,...,0.0,0.0,0.0,0.0,
188,Arizona,AZ,West,Mountain,1997,0.0,0.0,4.75,7.66,4.75,7.66,160.5,...,0.0,0.0,0.0,0.0,
189,Arizona,AZ,West,Mountain,1998,0.0,0.0,5.15,8.17,5.15,8.17,163.0,...,0.0,0.0,0.0,0.0,
190,Arizona,AZ,West,Mountain,1999,0.0,0.0,5.15,8.0,5.15,8.0,166.6,...,0.0,0.0,0.0,0.0,
191,Arizona,AZ,West,Mountain,2000,0.0,0.0,5.15,7.74,5.15,7.74,172.2,...,0.0,0.0,0.0,0.0,
192,Arizona,AZ,West,Mountain,2001,0.0,0.0,5.15,7.52,5.15,7.52,177.1,...,0.0,0.0,0.0,0.0,
193,Arizona,AZ,West,Mountain,2002,0.0,0.0,5.15,7.4,5.15,7.4,179.9,...,0.0,0.0,0.0,0.0,
194,Arizona,AZ,West,Mountain,2003,0.0,0.0,5.15,7.24,5.15,7.24,184.0,...,0.0,0.0,0.0,0.0,
195,Arizona,AZ,West,Mountain,2004,0.0,0.0,5.15,7.05,5.15,7.05,188.9,...,0.0,0.0,0.0,0.0,
